name,channel_id,handle,uploads_playlist,source,resolution_method
Adda247 CUET,UC4h5zkgRfnFLjFZtts1N6iA,cuetadda247,UU4h5zkgRfnFLjFZtts1N6iA,https://www.youtube.com/@cuetadda247,handle
"Adda247 Defence: CAPF AC, CDS & AFCAT Preparation",UC6mJHVVBE1ebpPfGVzmeuXQ,defenceadda247,UU6mJHVVBE1ebpPfGVzmeuXQ,https://www.youtube.com/@DefenceAdda247,handle
Agriculture & GK,UCFPxNZvFlCiAw3GpzwnlwVg,agriculturegk,UUFPxNZvFlCiAw3GpzwnlwVg,https://www.youtube.com/@AgricultureGK,handle
Anil Aggarwal,UCT0LsiRkQDlv35tww5w3zPw,anilaggarwal,UUT0LsiRkQDlv35tww5w3zPw,https://www.youtube.com/@AnilAggarwal,handle
Anuj Jindal,UC-8g0HshRxIlzz1pCgfDLZw,anujjindal,UU-8g0HshRxIlzz1pCgfDLZw,https://www.youtube.com/@anujjindal,handle
Apprentice Guru,UC8I6w6tljPXwKFiegu3oOjg,apprenticeguru,UU8I6w6tljPXwKFiegu3oOjg,https://www.youtube.com/@ApprenticeGuru,handle
Bankers Adda,UC4ti0r5KMWWgOhUM2qRGwBA,bankersadda,UU4ti0r5KMWWgOhUM2qRGwBA,https://www.youtube.com/@BankersAdda,handle
Banking Testbook,UC_fKmFGyY4MPVzz4TT_N_6Q,bankingtestbook,UU_fKmFGyY4MPVzz4TT_N_6Q,https://www.youtube.com/@BankingTestbook,handle
Banking Wallah,UCg5_K50hLTKerLkSE7I1yWQ,bankingwallah,UUg5_K50hLTKerLkSE7I1yWQ,https://www.youtube.com/@BankingWallah,handle
CAPF AC MENTORS,UCxpHxKpcAnJM8Qp8R16YDIA,capfacmentors,UUxpHxKpcAnJM8Qp8R16YDIA,https://www.youtube.com/@CAPFACMentors,handle
CAREER DEFINER,UCjO0g7qbAcZX-vtdIFCA41Q,careerdefiner,UUjO0g7qbAcZX-vtdIFCA41Q,https://www.youtube.com/@CareerDefiner,handle
cds.journey,UCWrhYxXBPEcv6wgdIBw5OMg,cdsjourney,UUWrhYxXBPEcv6wgdIBw5OMg,https://www.youtube.com/@CDSJourney,handle
Centurion Defence Academy,UCS7UIBUDGBnUXyXcV1DyHOg,centuriondefenceacademy,UUS7UIBUDGBnUXyXcV1DyHOg,https://www.youtube.com/@CenturionDefenceAcademy,handle
CivilTech Academy,UCSU52MpDEpJmHDfQgvmeS8g,civiltechacademy,UUSU52MpDEpJmHDfQgvmeS8g,https://www.youtube.com/@CivilTechAcademy,handle
Defence Wallah,UC8OCoGX9tmMneOzIFUTWq2Q,defencewallahpw,UU8OCoGX9tmMneOzIFUTWq2Q,https://www.youtube.com/@DefenceWallahPW,handle
Drishti IAS,UCzLqOSZPtUKrmSEnlH4LAvw,drishtiiasvideos,UUzLqOSZPtUKrmSEnlH4LAvw,https://www.youtube.com/@Drishtiiasvideos,handle
EduTap - Regulatory Bodies Examinations,UCizCPxaSpFEsBuyDIxKIR-Q,edutap,UUizCPxaSpFEsBuyDIxKIR-Q,https://www.youtube.com/@EduTap,handle
param p,UCA800Ocyb5lrZyPD2uAVnQQ,engineersacademy,UUA800Ocyb5lrZyPD2uAVnQQ,https://www.youtube.com/@EngineersAcademy,handle
Exampur Official,UCinqnSjkXLp0YsBu4hv79Fg,exampurofficial,UUinqnSjkXLp0YsBu4hv79Fg,https://www.youtube.com/@ExampurOfficial,handle
LEARNING CAPSULES - HARSHAL AGRAWAL,UCAgu5EJBK_HkeQE9KbnzqyA,learningcapsules,UUAgu5EJBK_HkeQE9KbnzqyA,https://www.youtube.com/@LearningCapsules,handle
MADE EASY,UCSrLdrCGaVWDSUyrTgqgmOw,madeeasyeducation,UUSrLdrCGaVWDSUyrTgqgmOw,https://www.youtube.com/@MADEEASYEducation,handle
Marrow,UCkdqtg0tEcRb1wMCFr2wN2A,marrowmed,UUkdqtg0tEcRb1wMCFr2wN2A,https://www.youtube.com/@MarrowMed,handle
Master Learner,UCNMnDsp08qQ2jFNt-_r3gLw,masterlearner,UUNMnDsp08qQ2jFNt-_r3gLw,https://www.youtube.com/@MasterLearner,handle
MD Classes,UCW67BMQKvGzv5gqSdteP9Eg,mdclasses,UUW67BMQKvGzv5gqSdteP9Eg,https://www.youtube.com/@MDClasses,handle
NEXT IAS,UCgKgAaGbKS-XWUJGWqP5W0A,nextias,UUgKgAaGbKS-XWUJGWqP5W0A,https://www.youtube.com/@NEXTIAS,handle
NIMISHA BANSAL,UCnRI8GekLC4QPbbJfcuxwlQ,nimishabansal,UUnRI8GekLC4QPbbJfcuxwlQ,https://www.youtube.com/@NimishaBansal,handle
Nursing Expert,UCCwAvCCbCKGlNl3D8pfV9gg,nursingexpert,UUCwAvCCbCKGlNl3D8pfV9gg,https://www.youtube.com/@NursingExpert,handle
Oliveboard,UCRvrHAyNdOMI_JBkE2pjZtw,oliveboardapp,UURvrHAyNdOMI_JBkE2pjZtw,https://www.youtube.com/@OliveboardApp,handle
Online Help India,UCCYGKwEhgZlF18H-LsrKRFQ,onlinehelpindia,UUCYGKwEhgZlF18H-LsrKRFQ,https://www.youtube.com/@OnlineHelpIndia,handle
GMI [Paramedical],UCkOUvH-Vfsdbdotlnpkp-KQ,paramedicalclasses,UUkOUvH-Vfsdbdotlnpkp-KQ,https://www.youtube.com/@ParamedicalClasses,handle
Physics Wallah - Alakh Pandey,UCiGyWN6DEbnj2alu7iapuKQ,physicswallah,UUiGyWN6DEbnj2alu7iapuKQ,https://www.youtube.com/@PhysicsWallah,handle
Railway Life,UCQRiKoGdGfZ19ZHzm6WN56A,railwaylife,UUQRiKoGdGfZ19ZHzm6WN56A,https://www.youtube.com/@RailwayLife,handle
Adda247 Regulatory Bodies & SO,UC_r97qKpSCev03bfqvSB_Lw,regulatorybodiesadda247,UU_r97qKpSCev03bfqvSB_Lw,https://www.youtube.com/@RegulatoryBodiesAdda247,handle
Gagan Pratap Maths,UCS2rhpz4RJEmb9CV7TPzBIg,gaganpratapmaths,UUS2rhpz4RJEmb9CV7TPzBIg,https://www.youtube.com/@GaganPratapMaths,handle
Rojgar with Ankit,UC5H9MzrMkJ5iuN11vV2PLhA,rojgarwithankit,UU5H9MzrMkJ5iuN11vV2PLhA,https://www.youtube.com/@RojgarwithAnkit,handle
R.S SIR,UCTJkhuZ2HqdJr_8p4KGBA6A,rssir,UUTJkhuZ2HqdJr_8p4KGBA6A,https://www.youtube.com/@RSSir,handle
Science Magnet,UC-hnHgZpTEd0sqrX68juuKA,sciencemagnet,UU-hnHgZpTEd0sqrX68juuKA,https://www.youtube.com/@ScienceMagnet,handle
SelectionExpress,UCu8ITnmGjC5nkQaTRBaLurw,selectionexpress,UUu8ITnmGjC5nkQaTRBaLurw,https://www.youtube.com/@SelectionExpress,handle
Shorthand Master,UCZi_1H9YQlqLeaaG9Z77Jlw,stenomaster,UUZi_1H9YQlqLeaaG9Z77Jlw,https://www.youtube.com/@StenoMaster,handle
SuccessTree,UCaUly9BR1S-cBc-rZRLfZog,successtree,UUaUly9BR1S-cBc-rZRLfZog,https://www.youtube.com/@SuccessTree,handle
TWA Team Vlogs,UCwzbGlHxsoMHC7RZe1zbWVQ,targetwithankit,UUwzbGlHxsoMHC7RZe1zbWVQ,https://www.youtube.com/@TargetWithAnkit,handle
Testbook Super Pass,UCgqkBUQ-3Xzj1SQfKdiZSSA,testbooksuperpass,UUgqkBUQ-3Xzj1SQfKdiZSSA,https://www.youtube.com/@TestbookSuperPass,handle
Adda247 UGC NET,UCeOoUjlLiP5qKBozcdIjnGA,ugcnetadda247,UUeOoUjlLiP5qKBozcdIjnGA,https://www.youtube.com/@UGCNETAdda247,handle
UNACADEMY GATE ESE,UCq6nqjOvdXtWDBelveGB9hw,unacademygateese,UUq6nqjOvdXtWDBelveGB9hw,https://www.youtube.com/@UnacademyGATEESE,handle
Unacademy Live - SSC Exams,UC1ePkT4Kd_DrO1qK6-o0Qdg,unacademylivesscexams,UU1ePkT4Kd_DrO1qK6-o0Qdg,https://www.youtube.com/@UnacademyLiveSSCExams,handle
Unacademy NEET,UCdQwYksctqqiRwqp3PiJMWA,unacademyneet,UUdQwYksctqqiRwqp3PiJMWA,https://www.youtube.com/@UnacademyNEET,handle
V M,UCOdYE2KPs-5dc6GL10yxIGA,vedantujee,UUOdYE2KPs-5dc6GL10yxIGA,https://www.youtube.com/@VedantuJEE,handle
Virtuous,UCjkUoXVJ5JGq7dRaqjpQ4bw,virtuous,UUjkUoXVJ5JGq7dRaqjpQ4bw,https://www.youtube.com/@Virtuous,handle
Vision IAS,UCw4wosjC-DKq95xI5klz92w,visioniasdelhi,UUw4wosjC-DKq95xI5klz92w,https://www.youtube.com/@VisionIASdelhi,handle
zone tech 24,UC59q608utG2i8XWXoqkTA1A,zonetechjaipur,UU59q608utG2i8XWXoqkTA1A,https://www.youtube.com/@ZoneTechJaipur,handle
Adda247 Bengali,UC0bd1IAfOijSGAZQYhpEypg,adda247bengali,UU0bd1IAfOijSGAZQYhpEypg,https://www.youtube.com/@adda247bengali,handle
Ajker Boro Khobor,UCNL85i9PmA2N0wbvuheq44w,ajkerborokhobor,UUNL85i9PmA2N0wbvuheq44w,https://www.youtube.com/@AjkerBoroKhobor,handle
Defence Practice Class,UCIbVH9XHC4Qj6Myu-ilAY8Q,defencepracticeclass,UUIbVH9XHC4Qj6Myu-ilAY8Q,https://www.youtube.com/@DefencePracticeClass,handle
Digital সবকিছু,UCmkzsWB0SJ_XOVfq1C3RlKA,digitalsobkichu,UUmkzsWB0SJ_XOVfq1C3RlKA,https://www.youtube.com/@DigitalSobkichu,handle
Kuntal Mahinder (Knowledge Account),UCkqQNOQmz9kOTRhIDWu1vCw,knowledgeaccount,UUkqQNOQmz9kOTRhIDWu1vCw,https://www.youtube.com/@KnowledgeAccount,handle
